Site,treat,Block,plot_id,Burrows_msq_2014,Burrows_msq_2015,Burrows_change,crab_density_msq,crab_per_trap,sed_accrete_g,BulkDens_kg_msq,BGMass_kg_msq,AGMass_kg_msq,BulkDens_g_core,BGMass_g_core,AGMass_g_core,AG_Consum_Crab,AG_Consum_NoCrab,BG_Consum_Crab,BG_Consum_NoCrab
N,otter_transect,2,na,na,8,na,na,na,na,139.81,2.54,1.44,1097.5,19.97,11.27,na,na,na,na
N,otter_transect,3,na,na,38,na,na,1,na,na,na,na,na,na,na,na,na,na,na
N,otter_transect,4,na,na,0,na,na,na,na,14.89,1.94,1.5,116.9,15.19,11.75,na,na,na,na
N,otter_transect,5,na,na,6,na,na,0,na,na,na,na,na,na,na,na,na,na,na
N,otter_transect,6,na,na,16,na,na,na,na,na,na,na,na,na,na,na,na,na,na
N,otter_transect,7,na,na,48,na,na,0,na,143.01,1.55,1.45,1122.6,12.17,11.41,na,na,na,na
N,otter_transect,8,na,na,40,na,na,na,na,122.76,1.1,1.65,963.7,8.62,12.92,na,na,na,na
N,otter_transect,9,na,na,52,na,na,1,na,131.52,1.45,1.51,1032.4,11.35,11.87,na,na,na,na
N,otter_transect,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
O,otter_transect,1,na,na,4,na,na,0,na,128.9,1.68,1.89,1011.9,13.19,14.84,na,na,na,na
O,otter_transect,2,na,na,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
O,otter_transect,3,na,na,20,na,na,0,na,na,na,na,na,na,na,na,na,na,na
O,otter_transect,4,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na
O,otter_transect,5,na,na,14,na,na,0,na,129.31,1.83,1.66,1015.1,14.38,13.07,na,na,na,na
O,otter_transect,6,na,na,6,na,na,na,na,126.75,1.04,1.2,995,8.19,9.39,na,na,na,na
O,otter_transect,7,na,na,16,na,na,0,na,na,na,na,na,na,na,na,na,na,na
O,otter_transect,8,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na
O,otter_transect,9,na,na,18,na,na,0,na,120.38,1.31,1.49,945,10.3,11.68,na,na,na,na
O,otter_transect,10,na,na,0,na,na,na,na,115.4,1.46,1.73,905.9,11.45,13.56,na,na,na,na
